Origin Time:2025/01/21 00:17:27
Lon:120.57¢XE
Lat:23.23¢XN
Depth:9.7km
Mag:6.4
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=   5.54,BAZ=255.17,PGA(V)= 493.40,PGA(NS)= 892.15,PGA(EW)=2104.96,PGV(V)=   8.93,PGV(NS)=  30.98,PGV(EW)=  72.95,Int= 6®z,PGA(SUM)=2057.49,PGV(SUM)=  79.10
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  83.35,BAZ=248.75,PGA(V)=   6.89,PGA(NS)=  17.48,PGA(EW)=  15.50,PGV(V)=   0.56,PGV(NS)=   0.86,PGV(EW)=   0.70,Int= 3¯Å,PGA(SUM)=  18.35,PGV(SUM)=   1.02
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  83.54,BAZ=280.17,PGA(V)=   7.45,PGA(NS)=  21.49,PGA(EW)=  19.77,PGV(V)=   0.96,PGV(NS)=   1.52,PGV(EW)=   2.22,Int= 3¯Å,PGA(SUM)=  23.26,PGV(SUM)=   2.28
Stacode=D033,Staname=ªF´ä  ,Stalon=120.46,Stalat=22.46,Dist=  85.87,BAZ=  7.51,PGA(V)=   7.15,PGA(NS)=  19.61,PGA(EW)=  27.45,PGV(V)=   1.64,PGV(NS)=   2.55,PGV(EW)=   3.66,Int= 4¯Å,PGA(SUM)=  28.26,PGV(SUM)=   3.76
Stacode=ECB ,Staname=ªøÀØ  ,Stalon=121.45,Stalat=23.32,Dist=  90.64,BAZ=264.01,PGA(V)=  11.92,PGA(NS)=  31.52,PGA(EW)=  27.01,PGV(V)=   1.06,PGV(NS)=   2.80,PGV(EW)=   2.09,Int= 4¯Å,PGA(SUM)=  34.69,PGV(SUM)=   3.15
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  90.78,BAZ=188.37,PGA(V)=  23.40,PGA(NS)=  47.76,PGA(EW)=  38.05,PGV(V)=   1.42,PGV(NS)=   3.33,PGV(EW)=   2.27,Int= 4¯Å,PGA(SUM)=  51.04,PGV(SUM)=   3.42
Stacode=WDG ,Staname=ªF¦N®q,Stalon=119.67,Stalat=23.26,Dist=  92.39,BAZ= 91.81,PGA(V)=   7.18,PGA(NS)=   7.75,PGA(EW)=  10.20,PGV(V)=   0.66,PGV(NS)=   0.66,PGV(EW)=   0.93,Int= 3¯Å,PGA(SUM)=  11.03,PGV(SUM)=   1.04
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist=  92.39,BAZ=171.13,PGA(V)=  24.57,PGA(NS)=  49.63,PGA(EW)=  48.31,PGV(V)=   0.71,PGV(NS)=   2.06,PGV(EW)=   2.12,Int= 4¯Å,PGA(SUM)=  53.73,PGV(SUM)=   2.42
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  93.98,BAZ=179.27,PGA(V)=  31.25,PGA(NS)=  74.88,PGA(EW)=  97.93,PGV(V)=   1.19,PGV(NS)=   2.30,PGV(EW)=   2.42,Int= 4¯Å,PGA(SUM)= 105.05,PGV(SUM)=   2.65
Stacode=WPL ,Staname=®H¨½  ,Stalon=120.96,Stalat=24.01,Dist=  95.14,BAZ=204.54,PGA(V)=   8.02,PGA(NS)=   7.57,PGA(EW)=   8.57,PGV(V)=   0.36,PGV(NS)=   0.39,PGV(EW)=   0.47,Int= 3¯Å,PGA(SUM)=  11.03,PGV(SUM)=   0.60
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  95.50,BAZ=356.41,PGA(V)=   5.26,PGA(NS)=   8.93,PGA(EW)=   5.97,PGV(V)=   0.48,PGV(NS)=   0.76,PGV(EW)=   0.71,Int= 3¯Å,PGA(SUM)=   8.85,PGV(SUM)=   0.94
